acc_full_T,accuracy,aurc,avg_slices,bound_satisfied,dataset,delta_hat,ece,energy_fixed_order_pj,energy_pj,energy_ratio,exit_rate,experiment,final_distinct,revisit_rate,risk_bound_thm1,risk_exited,seed,slice_utilization,ssp_overhead_frac,ssp_params,theta,variant
0.3991085886955261,0.4120745360851288,0.3915034234523773,9.073338508605957,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,6791.235634667969,0.5688736935832885,0.7013776302337646,A1_theta,16.0,0.0,0.6824999999999999,0.5049104563835933,0,0.5670836567878723,0.0031466331025802393,8576,0.3,baseline
0.3991085886955261,0.4072123169898987,0.3915034234523773,10.697325706481934,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,8006.761729941407,0.6706932823390069,0.5644246339797974,A1_theta,16.0,0.0,0.585,0.45585068198133527,0,0.6685828566551208,0.003146633102580239,8576,0.4,baseline
0.3991085886955261,0.40559157729148865,0.3915034234523773,12.026741981506348,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,9001.806626777345,0.7540440738878467,0.43517017364501953,A1_theta,16.0,0.0,0.4875,0.39664804469273746,0,0.7516713738441467,0.0031466331025802393,8576,0.5,baseline
0.3991085886955261,0.40437600016593933,0.3915034234523773,13.095218658447266,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,9801.542785234376,0.8210346609956086,0.3221231698989868,A1_theta,16.0,0.0,0.39,0.3320754716981132,0,0.8184511661529541,0.003146633102580239,8576,0.6,baseline
0.3991085886955261,0.40640193223953247,0.3915034234523773,13.58792495727539,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,10170.324857109375,0.8519260084087198,0.26377633213996887,A1_theta,16.0,0.0,0.34124999999999994,0.28110599078341014,0,0.8492453098297119,0.003146633102580239,8576,0.65,baseline
0.3991085886955261,0.40478119254112244,0.3915034234523773,14.004861831665039,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,10482.394836210939,0.8780668185967387,0.220016211271286,A1_theta,16.0,0.0,0.29250000000000004,0.2430939226519337,0,0.8753038644790649,0.003146633102580239,8576,0.7,baseline
0.3991085886955261,0.40437600016593933,0.3915034234523773,14.377228736877441,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,10761.104970683595,0.9014132127090536,0.17949756979942322,A1_theta,16.0,0.0,0.24375,0.21218961625282168,0,0.8985767960548401,0.003146633102580239,8576,0.75,baseline
0.3991085886955261,0.40599673986434937,0.3915034234523773,14.667342185974121,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,10978.249827753907,0.9196025384119665,0.15032415091991425,A1_theta,16.0,0.0,0.19499999999999995,0.15633423180592992,0,0.9167088866233826,0.003146633102580239,8576,0.8,baseline
0.3991085886955261,0.4027552604675293,0.3915034234523773,14.984602928161621,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,11215.713960253906,0.9394939256963705,0.1170988604426384,A1_theta,16.0,0.0,0.14625000000000002,0.11072664359861592,0,0.9365376830101013,0.0031466331025802393,8576,0.85,baseline
0.3991085886955261,0.4023500680923462,0.3915034234523773,15.29659652709961,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,11449.235727890624,0.9590550773974619,0.08225283771753311,A1_theta,16.0,0.0,0.09749999999999998,0.059113300492610835,0,0.9560372829437256,0.0031466331025802393,8576,0.9,baseline
0.3991085886955261,0.4019448757171631,0.3915034234523773,15.611021041870117,True,modelnet40,0.014110368676483631,0.015158170774999346,11938.037760000001,11684.576993632812,0.9787686409221754,0.04294975474476814,A1_theta,16.0,0.0,0.04875000000000004,0.04716981132075472,0,0.9756888151168823,0.003146633102580239,8576,0.95,baseline
