acc_full_T,accuracy,aurc,avg_slices,bound_satisfied,dataset,delta_hat,ece,energy_fixed_order_pj,energy_pj,energy_ratio,exit_rate,experiment,final_distinct,revisit_rate,risk_bound_thm1,risk_exited,seed,slice_utilization,ssp_overhead_frac,ssp_params,theta,variant
0.4812775254249573,0.526431679725647,0.3619070053100586,11.106827735900879,True,modelnet10,0.012631051242351532,0.045740695725958236,11938.037760000001,8313.266857246093,0.6963679479303383,0.5033039450645447,A5_policy,16.0,0.0,0.45,0.3479212253829322,0,0.6941767334938049,0.0031466331025802393,8576,0.5,ssp
0.4812775254249573,0.49669602513313293,0.3619070053100586,13.7764310836792,True,modelnet10,0.012631051242351532,0.045740695725958236,11938.037760000001,10311.41840517578,0.8637448308067489,0.24008809030056,A5_policy,16.0,0.0,0.27,0.25688073394495414,0,0.86102694272995,0.0031466331025802393,8576,0.7,ssp
0.4812775254249573,0.4812775254249573,0.3619070053100586,15.385461807250977,False,modelnet10,0.012631051242351532,0.045740695725958236,11938.037760000001,11515.749840273438,0.9646266892251342,0.07819382846355438,A5_policy,16.0,0.0,0.08999999999999998,0.1267605633802817,0,0.961591362953186,0.003146633102580239,8576,0.9,ssp
0.446035236120224,0.4240087866783142,0.3863163888454437,12.703743934631348,True,modelnet10,0.013474843464791775,0.053060446988232646,11938.037760000001,9508.530781777345,0.7964902585278256,0.3909691572189331,A5_policy,16.0,0.0,0.45,0.447887323943662,0,0.7939839959144592,0.003146633102580239,8576,0.5,random
0.446035236120224,0.4328193664550781,0.3863163888454437,14.461453437805176,False,modelnet10,0.013474843464791775,0.053060446988232646,11938.037760000001,10824.14569044922,0.906693872816936,0.18722465634346008,A5_policy,16.0,0.0,0.27,0.45294117647058824,0,0.9038408398628235,0.003146633102580239,8576,0.7,random
0.446035236120224,0.4449338912963867,0.3863163888454437,15.592510223388672,False,modelnet10,0.013474843464791775,0.053060446988232646,11938.037760000001,11670.721968828126,0.9776080628537168,0.06387665122747421,A5_policy,16.0,0.0,0.08999999999999998,0.13793103448275862,0,0.974531888961792,0.003146633102580239,8576,0.9,random
0.43171805143356323,0.4350219964981079,0.3845623731613159,12.383259773254395,True,modelnet10,0.013050752691924572,0.03742822036377619,11938.037760000001,9268.65397623047,0.7763967716106862,0.38766518235206604,A5_policy,16.0,0.0,0.45,0.4090909090909091,0,0.7739537358283997,0.003146633102580239,8576,0.5,fixed
0.43171805143356323,0.438325971364975,0.3845623731613159,14.401981353759766,False,modelnet10,0.013050752691924572,0.03742822036377619,11938.037760000001,10779.631872734375,0.9029651345929713,0.1740088015794754,A5_policy,16.0,0.0,0.27,0.34177215189873417,0,0.9001238346099854,0.003146633102580239,8576,0.7,fixed
0.43171805143356323,0.4361233413219452,0.3845623731613159,15.469161987304688,True,modelnet10,0.013050752691924572,0.03742822036377619,11938.037760000001,11578.3979653125,0.969874463298104,0.07158590108156204,A5_policy,16.0,0.0,0.08999999999999998,0.03076923076923077,0,0.966822624206543,0.003146633102580239,8576,0.9,fixed
0.392070472240448,0.4229074716567993,0.5149731636047363,11.705946922302246,False,modelnet10,0.007881670258939266,0.13163573251112948,11938.037760000001,8761.697119628907,0.7339310945209229,0.41850218176841736,A5_policy,16.0,0.0,0.45,0.46578947368421053,0,0.7316216826438904,0.0031466331025802393,8640,0.5,geometry_only
0.392070472240448,0.39757707715034485,0.5149731636047363,14.226871490478516,False,modelnet10,0.007881670258939266,0.13163573251112948,11938.037760000001,10648.565193984376,0.8919862215266083,0.1519823670387268,A5_policy,16.0,0.0,0.27,0.34782608695652173,0,0.8891794681549072,0.003146633102580239,8640,0.7,geometry_only
0.392070472240448,0.3942731022834778,0.5149731636047363,15.44493293762207,True,modelnet10,0.007881670258939266,0.13163573251112948,11938.037760000001,11560.262944179687,0.9683553676563079,0.06387665122747421,A5_policy,16.0,0.0,0.08999999999999998,0.0,0,0.9653083086013794,0.003146633102580239,8640,0.9,geometry_only
